frame_num,player_1_pos,player_2_pos,ball_pos
43,"(np.float32(1744.9598), np.float32(537.50146))","(np.float32(1771.4896), np.float32(73.88081))","(np.float32(1745.7837), np.float32(70.54142))"
44,"(np.float32(1745.27), np.float32(537.486))","(np.float32(1771.4896), np.float32(73.96859))","(np.float32(1746.6041), np.float32(70.81489))"
45,"(np.float32(1746.0454), np.float32(537.7479))","(np.float32(1771.4896), np.float32(73.9177))","(np.float32(1747.698), np.float32(71.36182))"
46,"(np.float32(1746.6658), np.float32(538.07715))","(np.float32(1771.2162), np.float32(73.97043))","(np.float32(1747.9714), np.float32(71.90875))"
47,"(np.float32(1747.4413), np.float32(538.6517))","(np.float32(1770.3958), np.float32(74.13357))","(np.float32(1748.2449), np.float32(70.55245))"
48,"(np.float32(1748.0616), np.float32(539.3054))","(np.float32(1769.8489), np.float32(74.18527))","(np.float32(1748.7919), np.float32(72.74019))"
49,"(np.float32(1748.3718), np.float32(539.8627))","(np.float32(1769.5753), np.float32(74.06188))","(np.float32(1749.0653), np.float32(75.20139))"
50,"(np.float32(1748.6819), np.float32(540.55304))","(np.float32(1769.5753), np.float32(73.80717))","(np.float32(1749.3387), np.float32(77.38913))"
51,"(np.float32(1748.6819), np.float32(541.0486))","(np.float32(1770.1223), np.float32(73.75319))","(np.float32(1749.8857), np.float32(81.491135))"
52,"(np.float32(1748.6819), np.float32(541.2685))","(np.float32(1771.4896), np.float32(73.91798))","(np.float32(1749.8857), np.float32(82.858475))"
53,"(np.float32(1748.6819), np.float32(541.27563))","(np.float32(1772.8569), np.float32(73.72338))","(np.float32(1749.8857), np.float32(85.04621))"
54,"(np.float32(1748.6819), np.float32(541.20593))","(np.float32(1772.31), np.float32(74.64433))","(np.float32(1749.8857), np.float32(87.507416))"
55,"(np.float32(1748.837), np.float32(541.279))","(np.float32(1771.2162), np.float32(75.42543))","(np.float32(1749.8857), np.float32(89.69515))"
56,"(np.float32(1748.6819), np.float32(541.53864))","(np.float32(1770.3958), np.float32(76.12206))","(np.float32(1749.8857), np.float32(90.51555))"
57,"(np.float32(1748.0616), np.float32(541.7824))","(np.float32(1772.31), np.float32(76.38299))","(np.float32(1747.4246), np.float32(89.14822))"
58,"(np.float32(1747.7515), np.float32(541.8733))","(np.float32(1773.1304), np.float32(76.468445))","(np.float32(1744.9634), np.float32(87.78088))"
