frame_num,player_1_pos,player_2_pos,ball_pos
43,"(np.float32(1730.5842), np.float32(537.7766))","(np.float32(1756.7681), np.float32(73.8792))","(np.float32(1731.0621), np.float32(70.54303))"
44,"(np.float32(1730.8944), np.float32(537.7612))","(np.float32(1756.7681), np.float32(73.96697))","(np.float32(1731.8826), np.float32(70.8165))"
45,"(np.float32(1731.6698), np.float32(538.0231))","(np.float32(1756.7681), np.float32(73.91609))","(np.float32(1732.9764), np.float32(71.36343))"
46,"(np.float32(1732.2902), np.float32(538.3523))","(np.float32(1756.4946), np.float32(73.96882))","(np.float32(1733.2499), np.float32(71.91036))"
47,"(np.float32(1733.0656), np.float32(538.9268))","(np.float32(1755.6742), np.float32(74.13196))","(np.float32(1733.5233), np.float32(70.55084))"
48,"(np.float32(1733.6859), np.float32(539.5806))","(np.float32(1755.1272), np.float32(74.18366))","(np.float32(1734.0703), np.float32(72.73858))"
49,"(np.float32(1733.9961), np.float32(540.1378))","(np.float32(1754.8538), np.float32(74.06027))","(np.float32(1734.3438), np.float32(75.19978))"
50,"(np.float32(1734.3063), np.float32(540.8282))","(np.float32(1754.8538), np.float32(73.80556))","(np.float32(1734.6172), np.float32(77.38752))"
51,"(np.float32(1734.3063), np.float32(541.3237))","(np.float32(1755.4008), np.float32(73.75158))","(np.float32(1735.1642), np.float32(81.489525))"
52,"(np.float32(1734.3063), np.float32(541.5437))","(np.float32(1756.7681), np.float32(73.91637))","(np.float32(1735.1642), np.float32(82.856865))"
53,"(np.float32(1734.3063), np.float32(541.5508))","(np.float32(1758.1354), np.float32(73.72176))","(np.float32(1735.1642), np.float32(85.0446))"
54,"(np.float32(1734.3063), np.float32(541.48114))","(np.float32(1757.5885), np.float32(74.64272))","(np.float32(1735.1642), np.float32(87.505806))"
55,"(np.float32(1734.4614), np.float32(541.5542))","(np.float32(1756.4946), np.float32(75.42382))","(np.float32(1735.1642), np.float32(89.69354))"
56,"(np.float32(1734.3063), np.float32(541.81384))","(np.float32(1755.6742), np.float32(76.12045))","(np.float32(1735.1642), np.float32(90.51395))"
57,"(np.float32(1733.6859), np.float32(542.0576))","(np.float32(1757.5885), np.float32(76.38138))","(np.float32(1732.7029), np.float32(89.14661))"
